id_sun_r,nilai_sun_r
SR1311,608.7
SR1312,552.1
SR1313,504.8
SR1314,452.3
SR1315,409.6
SR1316,360.1
SR1317,307.6
SR1318,255.8
SR1319,209.1
SR1320,148.5
SR1321,96.7
SR1322,58.8
SR1323,40.3
SR1324,20
SR1325,9.7
SR1326,2
SR1327,0.7
SR1328,0.7
SR1329,0.6
SR1330,0.6
SR1331,0.6
SR1332,0.6
SR1333,0.6
SR1334,0.5
SR1335,0.6
SR1336,0.7
SR1337,0.6
SR1338,0.5
SR1339,0.5
SR1340,0.8
SR1341,0.7
SR1342,0.5
SR1343,0.6
SR1344,0.7
SR1345,0.6
SR1346,0.6
SR1347,0.4
SR1348,0.6
SR1349,0.6
SR1350,0.6
SR1351,0.6
SR1352,0.6
SR1353,0.4
SR1354,0.5
SR1355,0.5
SR1356,0.5
SR1357,0.7
SR1358,0.6
SR1359,0.6
SR1360,0.7
SR1361,0.7
SR1362,0.7
SR1363,0.4
SR1364,0.5
SR1365,0.5
SR1366,0.6
SR1367,0.5
SR1368,0.8
SR1369,0.7
SR1370,0.7
SR1371,0.7
SR1372,0.7
SR1373,0.6
SR1374,0.5
SR1375,0.5
SR1376,0.6
SR1377,0.6
SR1378,0.4
SR1379,0.6
SR1380,0.5
SR1381,0.4
SR1382,0.9
SR1383,0.5
SR1384,0.8
SR1385,0.6
SR1386,0.6
SR1387,0.6
SR1388,0.6
SR1389,0.4
SR1390,0.6
SR1391,0.6
SR1392,0.6
SR1393,0.6
SR1394,0.7
SR1395,0.7
SR1396,0.7
SR1397,1.3
SR1398,4.8
SR1399,21.1
SR1400,37.2
SR1401,54.7
SR1402,80.6
SR1403,114.5
SR1404,151.9
SR1405,171.1
SR1406,241.1
SR1407,231.1
SR1408,213.5
SR1409,233.7
SR1410,320.7
SR1411,475.5
SR1412,428.7
SR1413,337.5
SR1414,491.3
SR1415,643
SR1416,632.8
SR1417,567.2
SR1418,792.5
SR1419,849.3
SR1420,861.5
SR1421,777.9
SR1422,862.5
SR1423,801.2
SR1424,1072.3
SR1425,1018.4
SR1426,598.6
SR1427,644.5
SR1428,527.6
SR1429,590.2
SR1430,621.1
SR1431,752.7
SR1432,467.2
SR1433,466.1
SR1434,573
SR1435,687.4
SR1436,830.6
SR1437,818.9
SR1438,814.1
SR1439,1057
SR1440,764.4
SR1441,1012
SR1442,540.4
SR1443,466.4
SR1444,864.5
SR1445,688.4
SR1446,435
SR1447,361.8
SR1448,864.1
SR1449,657.8
SR1450,233
SR1451,626.2
SR1452,625.5
SR1453,287.7
SR1454,393
SR1455,545.2
SR1456,584.9
SR1457,548.2
SR1458,491.7
SR1459,397.4
SR1460,292.6
SR1461,286.7
SR1462,257.5
SR1463,206.5
SR1464,173.2
SR1465,144.6
SR1466,104.1
SR1467,66.6
SR1468,40.8
SR1469,16.6
SR1470,1.9
SR1471,0.8
SR1472,0.4
SR1473,0.5
SR1474,0.5
SR1475,0.3
SR1476,0.3
SR1477,0.3
SR1478,0.5
SR1479,0.8
SR1480,0.6
SR1481,0.9
SR1482,0.4
SR1483,0.7
SR1484,0.9
SR1485,0.5
SR1486,0.6
SR1487,0.4
SR1488,0.6
SR1489,0.5
SR1490,0.6
SR1491,0.4
SR1492,0.4
SR1493,0.4
SR1494,0.4
